age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,Contacts_during_the_Campaign,Previous_Outcome,Desired_Target,Desired_Target_Num,state
42,technician,single,professional.course,unknown,no,no,telephone,May,Monday,22,1,nonexistent,Not Subscribed,1,New South Wales
57,admin.,married,university.degree,no,yes,yes,telephone,May,Monday,616,1,nonexistent,Not Subscribed,1,Victoria
40,blue-collar,married,basic.9y,no,no,yes,telephone,May,Monday,178,1,nonexistent,Not Subscribed,1,New South Wales
35,admin.,married,university.degree,no,yes,no,telephone,May,Monday,355,1,nonexistent,Not Subscribed,1,New South Wales
45,blue-collar,married,basic.9y,no,yes,no,telephone,May,Monday,225,2,nonexistent,Not Subscribed,1,Queensland
54,admin.,married,high.school,no,no,no,telephone,May,Monday,160,1,nonexistent,Not Subscribed,1,New South Wales
39,housemaid,married,basic.4y,no,no,yes,telephone,May,Monday,266,1,nonexistent,Not Subscribed,1,Western Australia
60,admin.,married,high.school,no,no,no,telephone,May,Monday,253,1,nonexistent,Not Subscribed,1,Victoria
53,admin.,single,professional.course,no,no,no,telephone,May,Monday,179,1,nonexistent,Not Subscribed,1,Queensland
55,blue-collar,married,basic.4y,unknown,no,no,telephone,May,Monday,269,2,nonexistent,Not Subscribed,1,South Australia
55,technician,married,professional.course,unknown,yes,no,telephone,May,Monday,135,1,nonexistent,Not Subscribed,1,Tasmania
50,management,married,university.degree,unknown,no,yes,telephone,May,Monday,161,1,nonexistent,Not Subscribed,1,Western Australia
45,services,married,high.school,unknown,yes,no,telephone,May,Monday,787,1,nonexistent,Not Subscribed,1,Victoria
55,unemployed,married,professional.course,unknown,yes,yes,telephone,May,Monday,145,1,nonexistent,Not Subscribed,1,New South Wales
25,technician,single,university.degree,no,yes,no,telephone,May,Monday,174,1,nonexistent,Not Subscribed,1,New South Wales
47,entrepreneur,married,university.degree,unknown,no,no,telephone,May,Monday,449,1,nonexistent,Not Subscribed,1,Queensland
51,blue-collar,married,basic.9y,no,yes,no,telephone,May,Monday,812,1,nonexistent,Not Subscribed,1,Victoria
42,blue-collar,married,basic.6y,unknown,yes,no,telephone,May,Monday,164,1,nonexistent,Not Subscribed,1,Western Australia
42,blue-collar,married,basic.6y,unknown,no,no,telephone,May,Monday,366,1,nonexistent,Not Subscribed,1,Victoria
48,admin.,married,high.school,no,no,no,telephone,May,Monday,357,1,nonexistent,Not Subscribed,1,Queensland
37,admin.,married,university.degree,no,no,no,telephone,May,Monday,232,1,nonexistent,Not Subscribed,1,South Australia
44,blue-collar,single,basic.9y,no,yes,no,telephone,May,Monday,91,1,nonexistent,Not Subscribed,1,New South Wales
33,admin.,married,unknown,no,yes,no,telephone,May,Monday,273,1,nonexistent,Not Subscribed,1,Victoria
56,admin.,married,basic.9y,no,yes,no,telephone,May,Monday,158,2,nonexistent,Not Subscribed,1,Queensland
44,blue-collar,single,basic.4y,unknown,yes,yes,telephone,May,Monday,177,1,nonexistent,Not Subscribed,1,New South Wales
41,management,married,basic.6y,no,no,no,telephone,May,Monday,200,1,nonexistent,Not Subscribed,1,New South Wales
44,management,divorced,university.degree,no,yes,no,telephone,May,Monday,172,1,nonexistent,Not Subscribed,1,Tasmania
47,admin.,married,university.degree,unknown,yes,no,telephone,May,Monday,176,1,nonexistent,Not Subscribed,1,South Australia
57,unknown,married,unknown,unknown,no,no,telephone,May,Monday,211,1,nonexistent,Not Subscribed,1,Victoria
37,admin.,married,university.degree,unknown,yes,no,telephone,May,Monday,214,1,nonexistent,Not Subscribed,1,New South Wales
41,blue-collar,divorced,basic.4y,unknown,yes,no,telephone,May,Monday,1575,1,nonexistent,Subscribed,0,New South Wales
55,technician,married,university.degree,no,no,no,telephone,May,Monday,349,1,nonexistent,Not Subscribed,1,New South Wales
33,services,married,high.school,unknown,yes,no,telephone,May,Monday,337,2,nonexistent,Not Subscribed,1,Western Australia
55,management,married,unknown,unknown,yes,no,telephone,May,Monday,272,1,nonexistent,Not Subscribed,1,Queensland
42,blue-collar,married,basic.9y,unknown,no,no,telephone,May,Monday,208,1,nonexistent,Not Subscribed,1,New South Wales
50,blue-collar,married,basic.4y,unknown,yes,no,telephone,May,Monday,193,1,nonexistent,Not Subscribed,1,Queensland
51,blue-collar,married,basic.4y,unknown,unknown,unknown,telephone,May,Monday,212,1,nonexistent,Not Subscribed,1,Queensland
38,admin.,married,high.school,unknown,no,no,telephone,May,Monday,165,2,nonexistent,Not Subscribed,1,Victoria
49,entrepreneur,married,university.degree,unknown,yes,no,telephone,May,Monday,1042,1,nonexistent,Subscribed,0,Victoria
38,technician,single,university.degree,no,no,yes,telephone,May,Monday,20,1,nonexistent,Not Subscribed,1,Victoria
31,admin.,divorced,high.school,no,no,no,telephone,May,Monday,246,1,nonexistent,Not Subscribed,1,New South Wales
41,management,married,basic.6y,no,no,no,telephone,May,Monday,529,2,nonexistent,Not Subscribed,1,Victoria
39,admin.,married,university.degree,no,yes,yes,telephone,May,Monday,192,1,nonexistent,Not Subscribed,1,Victoria
49,technician,married,basic.9y,no,no,no,telephone,May,Monday,1467,1,nonexistent,Subscribed,0,Victoria
34,admin.,married,high.school,no,yes,no,telephone,May,Monday,188,2,nonexistent,Not Subscribed,1,South Australia
35,admin.,married,university.degree,no,yes,no,telephone,May,Monday,180,2,nonexistent,Not Subscribed,1,Victoria
57,unknown,married,unknown,unknown,yes,no,telephone,May,Monday,48,1,nonexistent,Not Subscribed,1,New South Wales
60,admin.,married,unknown,unknown,no,yes,telephone,May,Monday,213,2,nonexistent,Not Subscribed,1,New South Wales
33,unemployed,married,basic.9y,no,no,no,telephone,May,Monday,545,1,nonexistent,Not Subscribed,1,Victoria
42,blue-collar,married,basic.6y,no,no,yes,telephone,May,Monday,583,1,nonexistent,Not Subscribed,1,New South Wales
45,services,married,professional.course,no,yes,no,telephone,May,Monday,221,1,nonexistent,Not Subscribed,1,Queensland
42,management,married,university.degree,no,no,no,telephone,May,Monday,426,1,nonexistent,Not Subscribed,1,Western Australia
53,admin.,divorced,university.degree,unknown,no,no,telephone,May,Monday,287,1,nonexistent,Not Subscribed,1,Victoria
37,technician,single,professional.course,no,no,no,telephone,May,Monday,197,1,nonexistent,Not Subscribed,1,New South Wales
44,blue-collar,married,basic.6y,no,no,no,telephone,May,Monday,257,1,nonexistent,Not Subscribed,1,Queensland
54,services,married,unknown,no,yes,no,telephone,May,Monday,229,1,nonexistent,Not Subscribed,1,Victoria
49,blue-collar,married,basic.4y,no,no,no,telephone,May,Monday,55,3,nonexistent,Not Subscribed,1,Queensland
54,services,married,unknown,no,no,no,telephone,May,Monday,400,1,nonexistent,Not Subscribed,1,New South Wales
52,admin.,divorced,university.degree,no,no,no,telephone,May,Monday,197,1,nonexistent,Not Subscribed,1,South Australia
52,admin.,divorced,university.degree,no,no,no,telephone,May,Monday,190,1,nonexistent,Not Subscribed,1,New South Wales
43,services,single,high.school,unknown,no,no,telephone,May,Monday,21,1,nonexistent,Not Subscribed,1,Queensland
34,housemaid,married,basic.6y,no,yes,no,telephone,May,Monday,300,2,nonexistent,Not Subscribed,1,Victoria
35,admin.,married,high.school,no,yes,no,telephone,May,Monday,123,2,nonexistent,Not Subscribed,1,New South Wales
42,entrepreneur,married,unknown,unknown,yes,no,telephone,May,Monday,293,1,nonexistent,Not Subscribed,1,New South Wales
43,technician,married,unknown,unknown,yes,yes,telephone,May,Monday,325,1,nonexistent,Not Subscribed,1,South Australia
60,retired,divorced,university.degree,unknown,no,no,telephone,May,Monday,514,1,nonexistent,Not Subscribed,1,New South Wales
58,unemployed,married,basic.4y,unknown,no,no,telephone,May,Monday,849,2,nonexistent,Not Subscribed,1,Tasmania
35,services,divorced,high.school,no,yes,no,telephone,May,Monday,194,1,nonexistent,Not Subscribed,1,Victoria
55,blue-collar,married,basic.9y,unknown,yes,no,telephone,May,Monday,212,2,nonexistent,Not Subscribed,1,New South Wales
37,management,married,university.degree,no,no,no,telephone,May,Monday,337,2,nonexistent,Not Subscribed,1,New South Wales
36,blue-collar,married,high.school,no,no,no,telephone,May,Monday,286,1,nonexistent,Not Subscribed,1,Queensland
52,admin.,divorced,university.degree,no,no,no,telephone,May,Monday,247,2,nonexistent,Not Subscribed,1,Queensland
57,blue-collar,divorced,unknown,unknown,yes,no,telephone,May,Monday,518,1,nonexistent,Not Subscribed,1,Victoria
56,admin.,married,unknown,no,yes,no,telephone,May,Monday,364,1,nonexistent,Not Subscribed,1,Victoria
48,blue-collar,divorced,basic.4y,unknown,yes,no,telephone,May,Monday,178,1,nonexistent,Not Subscribed,1,Western Australia
40,blue-collar,married,high.school,unknown,yes,no,telephone,May,Monday,98,1,nonexistent,Not Subscribed,1,New South Wales
49,blue-collar,divorced,high.school,no,no,no,telephone,May,Monday,439,1,nonexistent,Not Subscribed,1,Queensland
41,services,married,high.school,no,no,no,telephone,May,Monday,139,1,nonexistent,Not Subscribed,1,New South Wales
45,technician,married,high.school,no,yes,no,telephone,May,Monday,79,1,nonexistent,Not Subscribed,1,Victoria
32,admin.,married,university.degree,no,yes,yes,telephone,May,Monday,175,1,nonexistent,Not Subscribed,1,New South Wales
42,admin.,married,university.degree,no,no,yes,telephone,May,Monday,262,2,nonexistent,Not Subscribed,1,Queensland
50,admin.,married,basic.6y,no,no,no,telephone,May,Monday,61,1,nonexistent,Not Subscribed,1,New South Wales
31,technician,divorced,professional.course,no,yes,yes,telephone,May,Monday,78,1,nonexistent,Not Subscribed,1,Queensland
56,retired,married,basic.4y,no,yes,no,telephone,May,Monday,102,2,nonexistent,Not Subscribed,1,Queensland
41,technician,married,professional.course,unknown,yes,no,telephone,May,Monday,579,1,nonexistent,Subscribed,0,New South Wales
37,blue-collar,married,basic.6y,no,yes,yes,telephone,May,Monday,143,1,nonexistent,Not Subscribed,1,Victoria
41,technician,married,professional.course,unknown,no,no,telephone,May,Monday,677,1,nonexistent,Not Subscribed,1,Western Australia
35,blue-collar,married,unknown,no,yes,no,telephone,May,Monday,267,1,nonexistent,Not Subscribed,1,New South Wales
37,blue-collar,married,basic.6y,no,yes,no,telephone,May,Monday,345,1,nonexistent,Not Subscribed,1,New South Wales
52,management,married,university.degree,no,no,no,telephone,May,Monday,185,1,nonexistent,Not Subscribed,1,New South Wales
39,management,divorced,university.degree,no,no,no,telephone,May,Monday,207,1,nonexistent,Not Subscribed,1,New South Wales
39,housemaid,married,basic.4y,unknown,no,no,telephone,May,Monday,69,2,nonexistent,Not Subscribed,1,New South Wales
56,blue-collar,married,basic.4y,unknown,no,no,telephone,May,Monday,100,2,nonexistent,Not Subscribed,1,New South Wales
34,services,married,high.school,no,yes,no,telephone,May,Monday,125,2,nonexistent,Not Subscribed,1,New South Wales
45,blue-collar,married,basic.9y,unknown,yes,no,telephone,May,Monday,461,1,nonexistent,Subscribed,0,Victoria
43,unemployed,single,university.degree,no,yes,no,telephone,May,Monday,240,1,nonexistent,Not Subscribed,1,New South Wales
56,management,married,unknown,no,yes,no,telephone,May,Monday,70,1,nonexistent,Not Subscribed,1,New South Wales
39,management,married,university.degree,no,yes,no,telephone,May,Monday,193,1,nonexistent,Not Subscribed,1,Victoria
53,blue-collar,married,basic.4y,no,yes,no,telephone,May,Monday,136,1,nonexistent,Not Subscribed,1,Victoria
38,unknown,divorced,high.school,unknown,yes,no,telephone,May,Monday,73,1,nonexistent,Not Subscribed,1,New South Wales
42,blue-collar,married,basic.4y,unknown,yes,no,telephone,May,Monday,528,1,nonexistent,Not Subscribed,1,Queensland
42,blue-collar,married,basic.4y,unknown,no,no,telephone,May,Monday,541,1,nonexistent,Not Subscribed,1,Victoria
35,admin.,single,high.school,no,yes,no,telephone,May,Monday,338,1,nonexistent,Not Subscribed,1,Victoria
40,admin.,married,university.degree,unknown,yes,no,telephone,May,Monday,163,1,nonexistent,Not Subscribed,1,Queensland
51,blue-collar,married,basic.4y,no,yes,no,telephone,May,Monday,87,1,nonexistent,Not Subscribed,1,New South Wales
60,blue-collar,married,basic.9y,unknown,no,no,telephone,May,Monday,301,1,nonexistent,Not Subscribed,1,Victoria
56,entrepreneur,married,unknown,unknown,yes,no,telephone,May,Monday,46,1,nonexistent,Not Subscribed,1,New South Wales
39,services,divorced,high.school,unknown,yes,no,telephone,May,Monday,52,1,nonexistent,Not Subscribed,1,Victoria
56,entrepreneur,married,unknown,unknown,no,no,telephone,May,Monday,204,1,nonexistent,Not Subscribed,1,New South Wales
40,blue-collar,married,unknown,no,yes,yes,telephone,May,Monday,155,1,nonexistent,Not Subscribed,1,Victoria
36,blue-collar,married,basic.9y,no,yes,yes,telephone,May,Monday,98,1,nonexistent,Not Subscribed,1,New South Wales
51,blue-collar,married,unknown,unknown,yes,no,telephone,May,Monday,71,1,nonexistent,Not Subscribed,1,Queensland
51,blue-collar,married,unknown,unknown,no,no,telephone,May,Monday,243,1,nonexistent,Not Subscribed,1,Western Australia
43,technician,single,professional.course,no,yes,no,telephone,May,Monday,186,2,nonexistent,Not Subscribed,1,New South Wales
59,services,married,high.school,no,no,no,telephone,May,Monday,579,2,nonexistent,Not Subscribed,1,Queensland
24,management,single,university.degree,no,yes,no,telephone,May,Monday,165,2,nonexistent,Not Subscribed,1,Victoria
37,blue-collar,single,basic.9y,unknown,yes,yes,telephone,May,Monday,163,2,nonexistent,Not Subscribed,1,Queensland
40,blue-collar,married,basic.9y,unknown,no,no,telephone,May,Monday,46,1,nonexistent,Not Subscribed,1,New South Wales
42,blue-collar,married,basic.9y,unknown,no,no,telephone,May,Monday,559,3,nonexistent,Not Subscribed,1,Queensland
39,services,divorced,high.school,unknown,no,no,telephone,May,Monday,2033,1,nonexistent,Not Subscribed,1,Queensland
37,entrepreneur,married,basic.6y,no,no,no,telephone,May,Monday,85,1,nonexistent,Not Subscribed,1,Western Australia
38,services,married,high.school,no,yes,yes,telephone,May,Monday,506,1,nonexistent,Not Subscribed,1,New South Wales
56,admin.,divorced,unknown,unknown,no,no,telephone,May,Monday,114,2,nonexistent,Not Subscribed,1,New South Wales
40,blue-collar,married,unknown,no,no,no,telephone,May,Monday,114,2,nonexistent,Not Subscribed,1,Western Australia
54,management,divorced,university.degree,no,yes,no,telephone,May,Monday,843,2,nonexistent,Not Subscribed,1,Western Australia
43,blue-collar,married,high.school,unknown,no,yes,telephone,May,Monday,181,1,nonexistent,Not Subscribed,1,Western Australia
36,services,married,high.school,unknown,no,no,telephone,May,Monday,427,1,nonexistent,Not Subscribed,1,New South Wales
45,technician,married,university.degree,no,yes,yes,telephone,May,Monday,292,1,nonexistent,Not Subscribed,1,Victoria
42,admin.,single,university.degree,unknown,no,no,telephone,May,Monday,192,1,nonexistent,Not Subscribed,1,South Australia
43,services,married,high.school,no,no,no,telephone,May,Monday,93,3,nonexistent,Not Subscribed,1,New South Wales
46,management,married,basic.9y,no,no,no,telephone,May,Monday,128,2,nonexistent,Not Subscribed,1,Western Australia
44,services,married,high.school,no,yes,yes,telephone,May,Monday,107,1,nonexistent,Not Subscribed,1,Western Australia
51,admin.,single,basic.6y,no,no,no,telephone,May,Monday,303,2,nonexistent,Not Subscribed,1,New South Wales
28,services,married,high.school,no,yes,no,telephone,May,Monday,81,1,nonexistent,Not Subscribed,1,New South Wales
37,blue-collar,married,basic.9y,no,no,no,telephone,May,Monday,270,1,nonexistent,Not Subscribed,1,Victoria
34,technician,married,high.school,no,no,no,telephone,May,Monday,228,1,nonexistent,Not Subscribed,1,Victoria
46,blue-collar,married,basic.6y,unknown,yes,no,telephone,May,Monday,240,1,nonexistent,Not Subscribed,1,Victoria
42,blue-collar,married,basic.9y,no,yes,yes,telephone,May,Monday,673,2,nonexistent,Subscribed,0,Victoria
36,admin.,married,university.degree,no,yes,no,telephone,May,Monday,233,3,nonexistent,Not Subscribed,1,Victoria
54,blue-collar,married,basic.4y,unknown,no,no,telephone,May,Monday,102,1,nonexistent,Not Subscribed,1,New South Wales
57,management,married,university.degree,no,no,no,telephone,May,Monday,461,1,nonexistent,Not Subscribed,1,New South Wales
51,technician,married,basic.6y,unknown,no,no,telephone,May,Monday,250,1,nonexistent,Not Subscribed,1,Victoria
54,retired,married,high.school,unknown,no,no,telephone,May,Monday,130,1,nonexistent,Not Subscribed,1,New South Wales
49,blue-collar,married,basic.4y,unknown,no,no,telephone,May,Monday,252,1,nonexistent,Not Subscribed,1,Queensland
34,admin.,married,university.degree,no,yes,no,telephone,May,Monday,138,1,nonexistent,Not Subscribed,1,Victoria
41,technician,married,professional.course,no,no,no,telephone,May,Monday,412,1,nonexistent,Not Subscribed,1,New South Wales
38,blue-collar,single,basic.9y,no,yes,no,telephone,May,Monday,179,2,nonexistent,Not Subscribed,1,Queensland
45,management,divorced,university.degree,no,no,no,telephone,May,Monday,19,2,nonexistent,Not Subscribed,1,Queensland
42,technician,married,university.degree,no,no,no,telephone,May,Monday,228,2,nonexistent,Not Subscribed,1,New South Wales
34,blue-collar,single,basic.9y,unknown,yes,no,telephone,May,Monday,55,1,nonexistent,Not Subscribed,1,New South Wales
48,blue-collar,married,basic.4y,no,yes,no,telephone,May,Monday,717,1,nonexistent,Not Subscribed,1,New South Wales
37,admin.,married,high.school,unknown,yes,no,telephone,May,Monday,313,1,nonexistent,Not Subscribed,1,New South Wales
34,blue-collar,single,basic.9y,unknown,no,no,telephone,May,Monday,289,1,nonexistent,Not Subscribed,1,Queensland
40,admin.,married,basic.9y,unknown,yes,no,telephone,May,Monday,683,2,nonexistent,Not Subscribed,1,Tasmania
43,blue-collar,married,basic.6y,no,yes,no,telephone,May,Monday,1077,1,nonexistent,Not Subscribed,1,New South Wales
33,services,married,high.school,no,no,no,telephone,May,Monday,146,2,nonexistent,Not Subscribed,1,Queensland
32,services,single,basic.6y,no,no,no,telephone,May,Monday,167,1,nonexistent,Not Subscribed,1,Victoria
39,blue-collar,married,high.school,no,yes,no,telephone,May,Monday,356,2,nonexistent,Not Subscribed,1,Victoria
43,admin.,married,unknown,no,no,no,telephone,May,Monday,277,1,nonexistent,Not Subscribed,1,Queensland
44,blue-collar,married,basic.9y,no,yes,no,telephone,May,Monday,172,1,nonexistent,Not Subscribed,1,Victoria
35,student,single,university.degree,unknown,no,no,telephone,May,Monday,218,1,nonexistent,Not Subscribed,1,Victoria
35,student,single,university.degree,unknown,yes,yes,telephone,May,Monday,217,1,nonexistent,Not Subscribed,1,Queensland
35,unemployed,married,professional.course,no,no,no,telephone,May,Monday,67,1,nonexistent,Not Subscribed,1,Queensland
36,services,single,basic.4y,no,no,no,telephone,May,Monday,291,1,nonexistent,Not Subscribed,1,Queensland
35,student,single,university.degree,unknown,yes,no,telephone,May,Monday,248,1,nonexistent,Not Subscribed,1,Western Australia
36,student,single,basic.9y,no,yes,no,telephone,May,Monday,256,1,nonexistent,Not Subscribed,1,Victoria
55,housemaid,divorced,university.degree,no,no,no,telephone,May,Monday,286,1,nonexistent,Not Subscribed,1,New South Wales
59,admin.,married,university.degree,no,no,no,telephone,May,Monday,477,1,nonexistent,Not Subscribed,1,New South Wales
57,retired,married,unknown,unknown,no,no,telephone,May,Monday,611,2,nonexistent,Not Subscribed,1,Victoria
39,blue-collar,married,professional.course,unknown,yes,no,telephone,May,Monday,471,1,nonexistent,Not Subscribed,1,New South Wales
39,housemaid,married,basic.4y,unknown,yes,no,telephone,May,Monday,381,2,nonexistent,Not Subscribed,1,Western Australia
30,blue-collar,single,unknown,no,yes,no,telephone,May,Monday,251,1,nonexistent,Not Subscribed,1,New South Wales
30,blue-collar,single,unknown,no,yes,yes,telephone,May,Monday,408,1,nonexistent,Not Subscribed,1,New South Wales
50,housemaid,married,basic.4y,unknown,no,no,telephone,May,Monday,287,1,nonexistent,Not Subscribed,1,Victoria
40,services,married,high.school,no,no,no,telephone,May,Monday,322,3,nonexistent,Not Subscribed,1,New South Wales
35,admin.,married,high.school,no,yes,no,telephone,May,Monday,216,2,nonexistent,Not Subscribed,1,Western Australia
43,technician,married,unknown,unknown,no,no,telephone,May,Monday,366,2,nonexistent,Not Subscribed,1,New South Wales
36,services,single,basic.6y,unknown,yes,no,telephone,May,Monday,210,1,nonexistent,Not Subscribed,1,Queensland
46,technician,married,basic.4y,unknown,yes,no,telephone,May,Monday,288,1,nonexistent,Not Subscribed,1,Tasmania
40,technician,married,basic.9y,no,no,no,telephone,May,Monday,168,1,nonexistent,Not Subscribed,1,New South Wales
58,retired,married,university.degree,no,no,no,telephone,May,Monday,132,1,nonexistent,Not Subscribed,1,South Australia
42,technician,married,university.degree,no,no,no,telephone,May,Monday,64,2,nonexistent,Not Subscribed,1,Queensland
35,admin.,single,university.degree,no,no,no,telephone,May,Monday,209,2,nonexistent,Not Subscribed,1,Victoria
43,retired,married,basic.4y,unknown,no,no,telephone,May,Monday,410,3,nonexistent,Not Subscribed,1,New South Wales
45,blue-collar,married,basic.4y,no,yes,yes,telephone,May,Monday,177,1,nonexistent,Not Subscribed,1,Victoria
39,admin.,married,professional.course,no,yes,no,telephone,May,Monday,580,2,nonexistent,Not Subscribed,1,New South Wales
50,services,divorced,professional.course,no,yes,no,telephone,May,Monday,165,1,nonexistent,Not Subscribed,1,Victoria
32,management,divorced,basic.4y,unknown,yes,no,telephone,May,Monday,127,2,nonexistent,Not Subscribed,1,New South Wales
39,admin.,married,high.school,unknown,no,no,telephone,May,Monday,357,1,nonexistent,Not Subscribed,1,Victoria
52,self-employed,married,university.degree,unknown,no,no,telephone,May,Monday,175,1,nonexistent,Not Subscribed,1,Western Australia
44,admin.,married,professional.course,no,yes,no,telephone,May,Monday,300,1,nonexistent,Not Subscribed,1,New South Wales
56,blue-collar,married,basic.4y,no,no,no,telephone,May,Monday,136,1,nonexistent,Not Subscribed,1,Victoria
48,admin.,married,high.school,no,no,no,telephone,May,Monday,125,2,nonexistent,Not Subscribed,1,New South Wales
33,services,married,high.school,unknown,no,yes,telephone,May,Monday,189,2,nonexistent,Not Subscribed,1,Victoria
43,management,married,university.degree,unknown,no,yes,telephone,May,Monday,213,3,nonexistent,Not Subscribed,1,Victoria
57,retired,married,high.school,no,no,no,telephone,May,Monday,238,2,nonexistent,Not Subscribed,1,New South Wales
36,technician,single,professional.course,no,no,no,telephone,May,Monday,124,1,nonexistent,Not Subscribed,1,Queensland
34,management,married,university.degree,no,yes,no,telephone,May,Monday,18,1,nonexistent,Not Subscribed,1,New South Wales
34,services,single,basic.9y,no,no,no,telephone,May,Monday,730,2,nonexistent,Not Subscribed,1,Queensland
30,technician,married,university.degree,unknown,no,no,telephone,May,Monday,40,1,nonexistent,Not Subscribed,1,Victoria
33,services,divorced,unknown,no,no,no,telephone,May,Monday,181,2,nonexistent,Not Subscribed,1,Queensland
